iter	Passed	Remaining
0	1	1098
1	5	2503
2	6	1994
3	7	1798
4	10	2087
5	11	1908
6	15	2153
7	15	1975
8	20	2209
9	21	2084
10	25	2323
11	28	2335
12	30	2328
13	31	2230
14	36	2386
15	37	2298
16	40	2343
17	42	2327
18	43	2254
19	46	2296
20	47	2232
21	52	2315
22	53	2268
23	54	2212
24	57	2242
25	58	2192
26	61	2210
27	63	2203
28	64	2159
29	68	2208
30	69	2165
31	70	2126
32	72	2133
33	74	2117
34	75	2082
35	76	2037
36	81	2113
37	83	2117
38	84	2086
39	88	2124
40	89	2083
41	90	2057
42	94	2097
43	96	2103
44	98	2093
45	100	2088
46	101	2061
47	105	2099
48	106	2073
49	110	2104
50	111	2079
51	113	2061
52	114	2038
53	116	2046
54	117	2024
55	121	2046
56	123	2037
57	125	2044
58	127	2040
59	129	2032
60	131	2028
61	133	2026
62	135	2016
63	136	1997
64	140	2016
65	142	2014
66	143	1996
67	146	2003
68	147	1985
69	150	1999
70	153	2008
71	155	2005
72	158	2007
73	160	2002
74	162	2006
75	163	1990
76	167	2002
77	168	1988
78	169	1979
79	172	1987
80	173	1972
81	178	1994
82	180	1992
83	183	1996
84	185	1997
85	186	1983
86	187	1968
87	188	1953
88	190	1948
89	193	1956
90	194	1943
91	199	1971
92	200	1954
93	207	2001
94	211	2014
95	212	2001
96	213	1992
97	218	2012
98	219	1999
99	234	2112
100	235	2099
101	240	2120
102	241	2106
103	249	2145
104	250	2131
105	251	2119
106	253	2115
107	255	2112
108	258	2109
109	260	2106
110	263	2107
111	265	2101
112	266	2095
113	268	2085
114	269	2075
115	271	2071
116	273	2060
117	275	2056
118	276	2047
119	278	2041
120	279	2032
121	280	2020
122	282	2013
123	284	2006
124	285	2000
125	287	1991
126	288	1982
127	290	1979
128	292	1973
129	294	1974
130	295	1962
131	297	1956
132	298	1945
133	300	1939
134	300	1928
135	302	1919
136	303	1913
137	304	1903
138	306	1896
139	307	1887
140	309	1887
141	311	1881
142	313	1876
143	314	1867
144	315	1862
145	317	1855
146	318	1846
147	319	1837
148	320	1830
149	321	1823
150	323	1817
151	325	1816
152	327	1813
153	330	1813
154	333	1815
155	334	1810
156	335	1801
157	337	1797
158	339	1797
159	340	1789
160	341	1781
161	343	1777
162	345	1775
163	347	1772
164	350	1771
165	351	1767
166	354	1766
167	356	1764
168	357	1756
169	359	1756
170	362	1755
171	363	1751
172	366	1749
173	367	1746
174	369	1742
175	372	1742
176	374	1740
177	375	1735
178	376	1727
179	378	1722
180	383	1733
181	384	1726
182	392	1750
183	392	1742
184	394	1736
185	396	1734
186	397	1728
187	399	1725
188	400	1718
189	402	1716
190	403	1710
191	405	1708
192	406	1699
193	407	1692
194	410	1695
195	412	1692
196	413	1686
197	421	1709
198	425	1714
199	429	1717
200	430	1711
201	431	1704
202	432	1699
203	433	1693
204	435	1687
205	436	1680
206	437	1675
207	438	1670
208	439	1665
209	440	1657
210	443	1658
211	444	1652
212	445	1645
213	446	1639
214	447	1633
215	448	1628
216	449	1623
217	450	1617
218	451	1611
219	452	1605
220	454	1603
221	455	1597
222	456	1591
223	458	1588
224	459	1581
225	460	1575
226	461	1569
227	462	1564
228	462	1558
229	463	1553
230	464	1547
231	465	1542
232	467	1539
233	468	1534
234	469	1528
235	470	1523
236	472	1520
237	473	1516
238	474	1511
239	475	1505
240	477	1504
241	478	1499
242	479	1493
243	480	1490
244	481	1484
245	482	1479
246	483	1474
247	485	1471
248	486	1466
249	487	1462
250	489	1459
251	490	1455
252	491	1451
253	492	1445
254	493	1441
255	494	1436
256	495	1432
257	497	1430
258	498	1426
259	499	1421
260	500	1416
261	501	1412
262	502	1409
263	503	1404
264	504	1400
265	506	1397
266	507	1393
267	508	1388
268	510	1386
269	511	1381
270	512	13272271	513	13273272	515	13274	564	1487
275	569	1495
276	570	1490
277	572	1485
278	576	1490
279	580	1491
280	581	1487
281	587	1494
282	588	1490
283	593	1495
284	594	1491
285	595	1485
286	598	1488
287	601	1486
288	605	1489
289	606	1484
290	612	1491
291	613	1486
292	619	1494
293	620	1489
294	625	1494
295	626	1490
296	632	1496
297	635	1498
298	636	1493
299	642	1498
300	645	1499
301	648	1498
302	649	1493
303	656	1502
304	659	1502
305	663	1504
306	664	1499
307	665	1495
308	671	1501
309	672	1496
310	678	1502
311	679	1497
312	685	1504
313	686	1499
314	691	1504
315	692	1499
316	694	1495
317	699	1499
318	700	1495
319	706	1500
320	707	1495
321	713	1501
322	714	1496
323	720	1502
324	726	1508
325	727	1504
326	733	1509
327	734	1504
328	740	1509
329	741	1504
330	747	1510
331	748	1505
332	753	1509
333	755	1505
334	761	1511
335	766	1514
336	767	1510
337	773	1515
338	774	1510
339	780	1514
340	784	1516
341	785	1510
342	790	1513
343	791	1508
344	796	1513
345	798	1508
346	803	1511
347	805	1509
348	807	1506
349	808	1501
350	817	1512
351	818	1507
352	826	1515
353	827	1510
354	832	1513
355	836	1512
356	837	1507
357	838	1504
358	841	1503
359	843	1498
360	845	1497
361	849	1497
362	854	1499
363	856	1495
364	857	1492
365	859	1488
366	860	1484
367	861	1480
368	864	1477
369	865	1472
370	867	1471
371	869	1468
372	871	1465
373	873	1461
374	875	1458
375	876	1454
376	877	1450
377	880	1449
378	883	1447
379	887	1447
380	888	1443
381	890	1441
382	894	1440
383	902	1447
384	903	1443
385	916	1457
386	923	1462
387	924	1458
388	933	1466
389	938	1467
390	944	1471
391	945	1466
392	949	1466
393	951	1462
394	956	1465
395	960	1464
396	962	1462
397	967	1462
398	971	1462
399	973	1460
400	975	1457
401	976	1452
402	977	1447
403	986	1455
404	994	1461
405	996	1457
406	997	1453
407	998	1448
408	1002	1448
409	1006	1449
410	1009	1447
411	1013	1446
412	1017	1445
413	1020	1444
414	1027	1449
415	1028	1444
416	1029	1439
417	1031	1435
418	1032	1432
419	1034	1428
420	1035	1424
421	1036	1420
422	1037	1415
423	1038	1411
424	1040	1407
425	1041	1402
426	1042	1398
427	1043	1394
428	1045	1392
429	1048	1390
430	1052	1388
431	1053	1384
432	1056	1383
433	1057	1379
434	1061	1378
435	1064	1376
436	1067	1374
437	1069	1372
438	1070	1368
439	1071	1364
440	1073	1361
441	1075	1357
442	1078	1356
443	1083	1356
444	1083	1351
445	1084	1347
446	1085	1343
447	1091	1344
448	1092	1340
449	1099	1344
450	1101	1341
451	1105	1340
452	1114	1345
453	1116	1342
454	1117	1338
455	1119	1335
456	1120	1331
457	1125	1331
458	1126	1327
459	1128	1325
460	1135	1327
461	1136	1323
462	1138	1320
463	1140	1317
464	1143	1315
465	1145	1312
466	1147	1309
467	1148	1305
468	1153	1306
469	1155	1303
470	1156	1299
471	1158	1295
